Продукт,Калорийность,Белки,Жиры,Углеводы,Категория
Масса из рыбы горячего копчения,"340,1 кКал","22,3 г","27,8 г","0,3 г",вторые блюда
Минестроне,"66,8 кКал","4,2 г","3,4 г","5,3 г",вторые блюда
"Мозги, запеченные на гренках","219,6 кКал","9,8 г","12,1 г","19,2 г",вторые блюда
Морепродукты под майонезом,"472,2 кКал",39 г,"34,7 г",1 г,вторые блюда
Морковь в формочках,"74,4 кКал","2,1 г","5,3 г","4,8 г",вторые блюда
Морковь глазированная,"146,3 кКал",1 г,"6,8 г","21,6 г",вторые блюда
Морковь с зеленым горошком в молочном соусе,"184,8 кКал","7,4 г","8,9 г","19,9 г",вторые блюда
Морковь тушеная,108 кКал,"0,9 г","8,9 г","6,4 г",вторые блюда
Морковь тушеная с рисом и черносливом,"174,6 кКал","2,6 г","7,1 г","26,6 г",вторые блюда
"Морковь, тушенная в сметанном соусе","152,4 кКал","2,4 г","11,3 г","10,9 г",вторые блюда
"Морковь, тушенная с репчатым луком","57,6 кКал","1,9 г","2,5 г","7,4 г",вторые блюда
"Морковь, тушенная с рисом","130,8 кКал","1,7 г","8,1 г","13,7 г",вторые блюда
"Морковь, тушенная с черносливом или яблоками","146,6 кКал","2,2 г","5,1 г","24,7 г",вторые блюда
Морской гребешок или креветки заливные,222 кКал,"23,6 г","13,7 г","1,2 г",вторые блюда
Морской гребешок отварной с соусом,159 кКал,"16,9 г","6,2 г","9,4 г",вторые блюда
"Мясо ""Пальчики оближешь""","269,4 кКал","9,8 г","24,7 г","2,1 г",вторые блюда
Мясо в горшочке,"57,9 кКал","1,9 г","3,8 г","4,3 г",вторые блюда
Мясо в шубе,"273,5 кКал","11,8 г","24,6 г","1,4 г",вторые блюда
Мясо отварное,"307,2 кКал","34,1 г","18,6 г","0,9 г",вторые блюда
Мясо по-корейски,"173,5 кКал","3,1 г","15,7 г","5,4 г",вторые блюда
Мясо по-французски,"264,6 кКал",10 г,23 г,"4,6 г",вторые блюда
Мясо с курагой,"181,6 кКал","10,1 г","10,6 г","12,3 г",вторые блюда
Мясо с овощами по-индонезийски,"174,7 кКал","5,1 г",11 г,"14,7 г",вторые блюда
Мясо тушеное,"252,3 кКал","17,3 г",9 г,"27,3 г",вторые блюда
Мясо шпигованное,174 кКал,"17,6 г","9,2 г","5,6 г",вторые блюда
"Мясо, жаренное крупным куском","399,3 кКал",35 г,"28,8 г",0 г,вторые блюда
"Мясо, жаренное крупным куском, шпигованное","391,5 кКал","32,6 г",29 г,0 г,вторые блюда
"Мясо, тушенное с луком в горшочке","293,2 кКал","15,9 г","9,7 г","37,9 г",вторые блюда
Овощи в молочном соусе (1-й вариант),"120,8 кКал","5,6 г","3,7 г","17,5 г",вторые блюда
Овощи отварные с жиром,"90,5 кКал","1,9 г",6 г,"7,5 г",вторые блюда
"Овощи, припущенные в молочном или сметанном соусе","232,1 кКал","4,7 г","17,9 г","13,8 г",вторые блюда
"Овощи, припущенные с жиром","109,2 кКал","2,1 г",6 г,"12,4 г",вторые блюда
Овощное рагу с шампиньонами,"73,2 кКал","1,1 г",6 г,"3,9 г",вторые блюда
Оладьи из капусты с сыром,"213,2 кКал","5,6 г","19,3 г","4,6 г",вторые блюда
Оладьи из печени,"229,1 кКал","20,2 г","14,2 г","5,4 г",вторые блюда
Омлет из взбитых сливок,"256,8 кКал","6,4 г","14,8 г","26,2 г",вторые блюда
Омлет натуральный,"221,9 кКал","12,2 г","18,4 г","1,9 г",вторые блюда
Омлет натуральный,128 кКал,"8,7 г","9,2 г","2,7 г",вторые блюда
Омлет с сыром,342 кКал,"16,3 г","29,7 г","2,6 г",вторые блюда
"Омлет, смешанный с мясными продуктами","351,4 кКал","17,3 г","30,5 г","2,1 г",вторые блюда
