,Product,Portion,Category,Kkal,Protein,Fat,Carbs
652,Яблоки в желе,150,Десерт,111.1,3.0,3.4,18.3
653,Яблоки печеные,150,Десерт,65.8,0.6,1.4,13.6
654,Яблоки печеные,150,Десерт,169.1,0.5,0.4,43.6
655,Яблоки печеные с брусникой,150,Десерт,105.8,0.3,0.3,27.2
656,Яблоки со взбитыми сливками,150,Десерт,113.9,1.9,5.0,16.4
657,"Яблоки, фаршированные морковью",150,Десерт,78.4,0.8,2.8,13.4
658,Яблочно-сливочный соус,150,Десерт,97.1,1.2,6.1,10.1
659,Яблочный крем,150,Десерт,112.8,0.6,4.7,18.2
660,Ягодный мусс,150,Десерт,167.0,1.2,0.8,41.2
661,Яичный мусс,150,Десерт,142.2,5.9,3.5,23.4
662,Бабка из черного хлеба с яблоками,150,Выпечка,189.8,2.6,9.0,26.2
663,Бабушкины Рогалики,150,Выпечка,320.8,4.5,19.6,33.7
664,Буберт из пшеничной муки,150,Выпечка,123.1,4.4,6.2,13.3
665,Ватрушки (из дрожжевого теста),150,Выпечка,319.2,13.3,11.9,42.5
666,Воздушный пирог из черники,150,Выпечка,149.9,3.2,4.2,26.4
667,Картофельное печенье,150,Выпечка,69.0,2.9,2.5,9.3
668,Картофельное суфле,150,Выпечка,108.8,5.6,6.1,8.3
669,"Кекс ""Пока гости раздеваются""",150,Выпечка,286.5,4.6,13.1,40.0
670,Кекс кондитерский,150,Выпечка,276.2,6.2,13.6,34.4
671,Кекс молдавский,150,Выпечка,271.5,5.6,8.9,45.0
672,Кекс шоколадный,150,Выпечка,356.2,6.2,20.2,39.8
673,Крокеты из манной крупы,150,Выпечка,176.9,4.6,12.2,13.1
674,Крокеты из моркови с изюмом,150,Выпечка,134.0,3.6,2.8,25.3
675,Крупеник,150,Выпечка,204.4,8.3,12.1,16.7
676,Кулебяки (из дрожжевого теста),150,Выпечка,279.0,16.2,11.7,29.0
677,Кулич пасхальный,150,Выпечка,320.5,6.8,14.4,43.8
678,Лапшевник с творогом,150,Выпечка,165.9,6.9,9.5,14.1
679,Лекех,150,Выпечка,264.2,6.8,5.2,50.9
680,Лепешки из творога и картофеля,150,Выпечка,153.8,9.3,8.9,9.9
681,Макаронник,150,Выпечка,126.6,4.1,5.6,16.0
682,Манная запеканка с вишней,150,Выпечка,102.7,3.6,3.6,14.9
683,Манник,150,Выпечка,218.4,6.2,2.4,45.9
684,Манный пудинг с абрикосами,150,Выпечка,126.1,4.4,4.4,18.5
685,Манный пудинг с грушами,150,Выпечка,115.5,3.5,3.2,19.4
686,Манный пудинг с клубникой,150,Выпечка,119.5,4.1,5.2,15.1
687,Медовик,150,Выпечка,311.0,8.3,4.9,62.3
688,Миндальный пудинг с клубникой,150,Выпечка,178.5,4.1,8.6,22.5
689,Ореховое печение,150,Выпечка,268.5,6.7,12.1,35.5
690,Печенье из картофеля с яблоками,150,Выпечка,148.0,1.9,4.5,26.7
691,Печенье из кофе,150,Выпечка,366.5,6.2,21.3,40.0
692,Печенье из творога,150,Выпечка,381.0,9.3,26.0,29.3
693,Пирог летний,150,Выпечка,238.2,9.2,8.4,33.5
694,Пирог от Анюты,150,Выпечка,312.5,9.8,15.9,34.8
695,Пирог с бананами,150,Выпечка,115.6,2.3,0.7,26.8
696,Пирог с вишнями,150,Выпечка,314.0,2.9,20.7,31.0
697,Пирог с творогом и вишней,150,Выпечка,128.2,7.7,3.7,17.0
698,Пирог с черникой,150,Выпечка,298.5,2.9,11.5,48.8
699,Пирог яблочный открытый,150,Выпечка,193.6,2.1,7.3,32.0
700,Пироги закрытые,150,Выпечка,252.4,12.1,6.6,38.7
701,Пирожки жареные из дрожжевого теста (простые с фаршем массой 75г.),150,Выпечка,339.5,13.5,17.7,33.6
702,Пирожки печеные из дрожжевого теста (простые массой 75г.),150,Выпечка,285.8,14.4,9.2,38.7
703,Пирожки печеные из пресного слоеного теста ( массой 75г.),150,Выпечка,390.5,14.4,24.5,29.9
704,Пирожки с картофелем и творогом,150,Выпечка,98.6,8.6,0.9,15.0
705,Пицца с луком и сыром,150,Выпечка,198.9,5.2,15.4,10.4
706,Пицца с помидорами и сыром,150,Выпечка,221.6,4.1,17.5,12.6
707,Пончики,150,Выпечка,328.8,6.7,14.7,45.1
708,Пшенная запеканка,150,Выпечка,246.1,7.3,5.5,44.7
709,Расстегаи московские,150,Выпечка,264.5,13.7,10.2,31.3
710,Расстегаи с мясом или рыбой,150,Выпечка,267.0,13.2,9.5,34.3
711,Ржаные лепешки,150,Выпечка,390.0,5.2,17.8,55.8
712,Рисовые омлеты с вишней,150,Выпечка,153.6,4.4,7.1,19.1
713,"Рулет ""Мираж гурмана""",150,Выпечка,305.0,5.5,14.9,39.7
714,Саварен (французский рождественский кекс),150,Выпечка,175.2,3.7,3.7,33.9
715,Свежие ягоды черники в сахаре,150,Выпечка,241.5,0.4,0.2,63.4
716,Свекла с творогом,150,Выпечка,69.5,10.1,0.9,5.5
717,Соты,150,Выпечка,360.2,3.5,26.9,27.9
718,Сочни творожные,150,Выпечка,260.8,9.4,9.8,35.9
719,Сочники с творогом,150,Выпечка,244.1,9.6,7.9,35.8
720,Сырники из творога,150,Выпечка,300.2,13.0,19.4,19.6
721,Сырные палочки,150,Выпечка,314.5,13.7,27.9,2.4
722,Творожная запеканка,150,Выпечка,239.6,8.4,6.8,38.6
723,Творожная запеканка с макаронами,150,Выпечка,228.5,11.2,9.1,27.3
724,"Творожники ""Пряженые"" (с морковью и сыром)",150,Выпечка,320.0,10.8,23.4,17.6
725,Творожно-яблочная запеканка,150,Выпечка,93.8,8.5,3.7,7.2
726,Творожно-яблочный пирог,150,Выпечка,207.2,5.1,6.2,35.0
727,Творожные шарики с яблоками,150,Выпечка,321.2,7.2,23.8,20.8
728,Торт Муравейник,150,Выпечка,452.0,4.5,29.4,45.1
729,Тыквенно-яблочная запеканка,150,Выпечка,120.2,2.5,5.9,15.3
730,Шанежки наливные с яйцами,150,Выпечка,239.8,9.1,4.0,44.7
731,Шарлотка,150,Выпечка,145.8,3.1,1.8,31.3
732,Шарлотка с яблоками,150,Выпечка,197.8,3.5,5.0,37.0
733,Яблоки в слойке,150,Выпечка,238.2,3.9,9.9,35.7
734,Яблоки в тесте жареные,150,Выпечка,220.8,3.3,8.0,36.1
735,Яблоки или груши с сиропом,150,Выпечка,105.3,0.3,0.3,27.1
736,"Яблоки, запеченные с творогом",150,Выпечка,171.4,3.7,2.9,34.7
737,"Яблоки, фаршированные рисом и орехами",150,Выпечка,151.1,3.1,8.5,16.7
738,Яблочный каравай из черствого хлеба,150,Выпечка,147.5,4.7,6.8,18.0
