,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDon,NumHAcc,pIC50
33,CHEMBL202877,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,active,526.6970000000003,5.224600000000004,3.0,4.0,5.221848749616356
34,CHEMBL425031,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,active,527.6810000000003,5.258200000000005,3.0,4.0,4.698970004336019
35,CHEMBL200014,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,active,621.8670000000003,4.904000000000005,4.0,5.0,5.00436480540245
36,CHEMBL202507,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,active,621.8670000000003,4.904000000000005,4.0,5.0,6.130768280269024
37,CHEMBL200077,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,active,560.7140000000003,5.421200000000004,3.0,4.0,6.7447274948966935
38,CHEMBL204357,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,active,523.6740000000003,5.0602000000000045,3.0,5.0,6.698970004336019
39,CHEMBL206766,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1=O,active,431.5770000000003,3.267900000000001,3.0,4.0,5.167491087293763
40,CHEMBL204443,CCC[C@H](C(=O)NC/C=C/Cc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,active,637.8650000000004,7.469900000000009,2.0,4.0,5.522878745280337
41,CHEMBL381336,CCC[C@H](C(=O)NC1CCCC1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,active,575.7940000000003,6.613600000000007,2.0,4.0,5.221848749616356
42,CHEMBL205400,CCC[C@H](C(=O)NCc1ccco1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,active,587.7610000000004,6.464200000000007,2.0,5.0,5.522878745280337
43,CHEMBL205714,CCCCNC(=O)[C@@H](CCC)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,active,563.7830000000004,6.471100000000007,2.0,4.0,5.301029995663981
44,CHEMBL208230,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(NN3CCCCC3)c2)C1=O,active,513.7270000000004,4.060600000000002,3.0,5.0,7.130768280269024
45,CHEMBL424684,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,active,574.6880000000002,6.0102000000000055,3.0,4.0,7.522878745280337
46,CHEMBL274414,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O,active,536.7170000000003,5.000000000000004,3.0,5.0,6.795880017344075
47,CHEMBL208504,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(F)c(Cl)c3)c2)C1=O,active,559.1260000000002,5.783900000000005,3.0,4.0,7.769551078621726
