,portion,Time,Level,Exception,Category,Recipe,Product,Protein,Fat,Kkal,Carbs,Клетчатка,Ca,Fe,Mg,P,Kali,Na,Zn,Cu,Se,A,Bcar,E,D,C,B1,B2,PP,B6,B9,B12,B4,K
50,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/two-minute-breakfast-smoothie,Two-minute breakfast smoothie,0.2,0.05,28,0.19,0.8,2.5,0.1,5,3.5,44,0,0.03,0.02,0.3,1,8.5,0.3,0,8.35,0.006,0.0155,0.0915,0.0575,3,0,2.05,0
51,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spinach-smoothie,Spinach smoothie,0.2,0.05,28,0.19,0.8,2.5,0.1,5,3.5,44,0,0.03,0.02,0.3,1,8.5,0.3,0,8.35,0.006,0.0155,0.0915,0.0575,3,0,2.05,0
52,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cranberry-raspberry-smoothie,Cranberry & raspberry smoothie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/polenta-chorizo-poached-eggs,Polenta with chorizo & poached eggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/roast-chicken-fennel-olives,Roast chicken with fennel & olives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-curried-chicken-rice-soup,Creamy curried chicken & rice soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-puttanesca,Spaghetti puttanesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/chorizo-red-cabbage-tacos,Chorizo & red cabbage tacos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/easy-sausage-fennel-risotto,Easy sausage & fennel risotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cheats-sausage-larb,Cheat’s sausage larb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-pesto-kale-pasta,Creamy pesto & kale pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/herby-mushroom-pasta,Herby mushroom pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/orecchiette-with-butter-beans-parsley-chilli-lemon,"Orecchiette with butter beans, parsley, chilli & lemon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/butternut-bacon-fusilli,Butternut & bacon fusilli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/super-smoky-bacon-tomato-spaghetti,Super smoky bacon & tomato spaghetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-pasta-asparagus-peas,Creamy pasta with asparagus & peas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/salmon-spinach-pasta,Salmon & spinach pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/storecupboard-spaghetti-puttanesca,Storecupboard spaghetti puttanesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-leeks-peas-pesto,"Spaghetti with leeks, peas & pesto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/orzo-tomato-soup,Orzo & tomato soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/so-simple-spaghetti-bolognese,Healthy spaghetti bolognese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/poor-mans-vongole-rosso,Poor man's vongole rosso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/quick-springtime-pasta,Quick springtime pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-sardines,Spaghetti with sardines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/salmon-pasta-salad-lemon-capers,Salmon pasta salad with lemon & capers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/sardine-pasta-crunchy-parsley-crumbs,Sardine pasta with crunchy parsley crumbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-cherry-tomato-black-olive-sauce,Spaghetti with cherry tomato & black olive sauce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-lemon-parmesan-peas,"Spaghetti with lemon, Parmesan & peas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-meatballs,Slow cooker meatballs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-honey-mustard-chicken-thighs,Slow cooker honey mustard chicken thighs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-mac-n-cheese,Slow cooker mac ’n’ cheese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-spiced-root-lentil-casserole,Slow cooker spiced root & lentil casserole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-shepherds-pie,low cooker shepherd's pie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-vegetable-lasagne,Slow-cooker vegetable lasagne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-pulled-chicken,"
Slow cooker pulled chicken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-sausage-casserole,"
Slow-cooker sausage casserole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-ratatouille,Slow cooker ratatouille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
